"id","city_name"
"1","Adilabad"
"2","Agra"
"3","Ahmedabad"
"4","Ahmednagar"
"5","Aizawl"
"6","Ajitgarh (Mohali)"
"7","Ajmer"
"8","Akola"
"9","Alappuzha"
"10","Aligarh"
"11","Alirajpur"
"12","Allahabad"
"13","Almora"
"14","Alwar"
"15","Ambala"
"16","Ambedkar Nagar"
"17","Amravati"
"18","Amreli district"
"19","Amritsar"
"20","Anand"
"21","Anantapur"
"22","Anantnag"
"23","Angul"
"24","Anjaw"
"25","Anuppur"
"26","Araria"
"27","Ariyalur"
"28","Arwal"
"29","Ashok Nagar"
"30","Auraiya"
"31","Aurangabad"
"32","Aurangabad"
"33","Azamgarh"
"34","Badgam"
"35","Bagalkot"
"36","Bageshwar"
"37","Bagpat"
"38","Bahraich"
"39","Baksa"
"40","Balaghat"
"41","Balangir"
"42","Balasore"
"43","Ballia"
"44","Balrampur"
"45","Banaskantha"
"46","Banda"
"47","Bandipora"
"48","Bangalore Rural"
"49","Bangalore Urban"
"50","Banka"
"51","Bankura"
"52","Banswara"
"53","Barabanki"
"54","Baramulla"
"55","Baran"
"56","Bardhaman"
"57","Bareilly"
"58","Bargarh (Baragarh)"
"59","Barmer"
"60","Barnala"
"61","Barpeta"
"62","Barwani"
"63","Bastar"
"64","Basti"
"65","Bathinda"
"66","Beed"
"67","Begusarai"
"68","Belgaum"
"69","Bellary"
"70","Betul"
"71","Bhadrak"
"72","Bhagalpur"
"73","Bhandara"
"74","Bharatpur"
"75","Bharuch"
"76","Bhavnagar"
"77","Bhilwara"
"78","Bhind"
"79","Bhiwani"
"80","Bhojpur"
"81","Bhopal"
"82","Bidar"
"83","Bijapur"
"84","Bijapur"
"85","Bijnor"
"86","Bikaner"
"87","Bilaspur"
"88","Bilaspur"
"89","Birbhum"
"90","Bishnupur"
"91","Bokaro"
"92","Bongaigaon"
"93","Boudh (Bauda)"
"94","Budaun"
"95","Bulandshahr"
"96","Buldhana"
"97","Bundi"
"98","Burhanpur"
"99","Buxar"
"100","Cachar"
"101","Central Delhi"
"102","Chamarajnagar"
"103","Chamba"
"104","Chamoli"
"105","Champawat"
"106","Champhai"
"107","Chandauli"
"108","Chandel"
"109","Chandigarh"
"110","Chandrapur"
"111","Changlang"
"112","Chatra"
"113","Chennai"
"114","Chhatarpur"
"115","Chhatrapati Shahuji Maharaj Nagar"
"116","Chhindwara"
"117","Chikkaballapur"
"118","Chikkamagaluru"
"119","Chirang"
"120","Chitradurga"
"121","Chitrakoot"
"122","Chittoor"
"123","Chittorgarh"
"124","Churachandpur"
"125","Churu"
"126","Coimbatore"
"127","Cooch Behar"
"128","Cuddalore"
"129","Cuttack"
"130","Dadra and Nagar Haveli"
"131","Dahod"
"132","Dakshin Dinajpur"
"133","Dakshina Kannada"
"134","Daman"
"135","Damoh"
"136","Dantewada"
"137","Darbhanga"
"138","Darjeeling"
"139","Darrang"
"140","Datia"
"141","Dausa"
"142","Davanagere"
"143","Debagarh (Deogarh)"
"144","Dehradun"
"145","Deoghar"
"146","Deoria"
"147","Dewas"
"148","Dhalai"
"149","Dhamtari"
"150","Dhanbad"
"151","Dhar"
"152","Dharmapuri"
"153","Dharwad"
"154","Dhemaji"
"155","Dhenkanal"
"156","Dholpur"
"157","Dhubri"
"158","Dhule"
"159","Dibang Valley"
"160","Dibrugarh"
"161","Dima Hasao"
"162","Dimapur"
"163","Dindigul"
"164","Dindori"
"165","Diu"
"166","Doda"
"167","Dumka"
"168","Dungapur"
"169","Durg"
"170","East Champaran"
"171","East Delhi"
"172","East Garo Hills"
"173","East Khasi Hills"
"174","East Siang"
"175","East Sikkim"
"176","East Singhbhum"
"177","Eluru"
"178","Ernakulam"
"179","Erode"
"180","Etah"
"181","Etawah"
